ablation_index,sample_id,track_c_status,variant,schema_valid,parse_error,conversion_ok,conversion_errors,skill_sequence,status,updated_at
1,CommenSence/insert_flower_common_sense/example19,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,skipped_existing,2026-05-30 19:29:22
2,CommenSence/insert_flower_common_sense/example81,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,skipped_existing,2026-05-30 19:29:22
3,CommenSence/select_billiards_common_sense/example21,C1_qwen_guided_condition_failure,R1,True,,True,,pick>insert,completed,2026-05-30 19:29:23
4,CommenSence/select_billiards_common_sense/example30,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:29:24
5,CommenSence/select_billiards_common_sense/example47,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:29:25
6,CommenSence/select_billiards_common_sense/example6,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:29:26
7,CommenSence/select_billiards_common_sense/example61,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:29:27
8,CommenSence/select_billiards_common_sense/example65,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:29:27
9,CommenSence/select_billiards_common_sense/example70,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:29:28
10,CommenSence/select_billiards_common_sense/example80,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:29:29
11,CommenSence/select_billiards_common_sense/example83,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:29:30
12,CommenSence/select_billiards_common_sense/example84,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:32
13,CommenSence/select_billiards_common_sense/example89,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:29:33
14,CommenSence/select_billiards_common_sense/example92,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:29:34
15,CommenSence/select_billiards_common_sense/example99,C1_qwen_guided_condition_failure,R1,True,,True,,pick>insert,completed,2026-05-30 19:29:35
16,CommenSence/select_chemistry_tube_common_sense/example82,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:36
17,CommenSence/select_drink_common_sense/example1,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:37
18,CommenSence/select_drink_common_sense/example11,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:38
19,CommenSence/select_drink_common_sense/example67,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:40
20,CommenSence/select_drink_common_sense/example95,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:41
21,CommenSence/select_drink_common_sense/example96,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:42
22,CommenSence/select_fruit_common_sense/example3,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:43
