ablation_index,sample_id,track_c_status,variant,schema_valid,parse_error,conversion_ok,conversion_errors,skill_sequence,status,updated_at
1,CommenSence/insert_flower_common_sense/example19,C1_qwen_guided_condition_failure,R2,True,,True,,pick>place,completed,2026-05-29 21:14:43
2,CommenSence/insert_flower_common_sense/example81,C1_qwen_guided_condition_failure,R2,True,,True,,pick>place,completed,2026-05-29 21:14:44
3,CommenSence/select_billiards_common_sense/example21,C1_qwen_guided_condition_failure,R2,True,,True,,pick>place,skipped_existing,2026-05-31 17:20:48
4,CommenSence/select_billiards_common_sense/example30,C1_qwen_guided_condition_failure,R2,True,,True,,pick>insert,completed,2026-05-31 17:20:49
5,CommenSence/select_billiards_common_sense/example47,C1_qwen_guided_condition_failure,R2,True,,False,step1:unmapped_component:hole_0,pick>insert,completed,2026-05-31 17:20:50
6,CommenSence/select_billiards_common_sense/example6,C1_qwen_guided_condition_failure,R2,True,,True,,pick>insert,completed,2026-05-31 17:20:51
7,CommenSence/select_billiards_common_sense/example61,C1_qwen_guided_condition_failure,R2,True,,True,,pick>place,completed,2026-05-31 17:20:52
8,CommenSence/select_billiards_common_sense/example65,C1_qwen_guided_condition_failure,R2,True,,True,,insert,completed,2026-05-31 17:20:54
9,CommenSence/select_billiards_common_sense/example70,C1_qwen_guided_condition_failure,R2,True,,True,,pick>insert,completed,2026-05-31 17:20:56
10,CommenSence/select_billiards_common_sense/example80,C1_qwen_guided_condition_failure,R2,True,,True,,pick>insert,completed,2026-05-31 17:20:57
11,CommenSence/select_billiards_common_sense/example83,C1_qwen_guided_condition_failure,R2,True,,True,,pick>place,completed,2026-05-31 17:20:59
12,CommenSence/select_billiards_common_sense/example84,C1_qwen_guided_condition_failure,R2,True,,False,step0:unmapped_component:striped_7;step1:unmapped_component:hole_1,pick>place,completed,2026-05-31 17:21:00
13,CommenSence/select_billiards_common_sense/example89,C1_qwen_guided_condition_failure,R2,True,,True,,insert,completed,2026-05-31 17:21:02
14,CommenSence/select_billiards_common_sense/example92,C1_qwen_guided_condition_failure,R2,True,,True,,pick>insert,completed,2026-05-31 17:21:03
15,CommenSence/select_billiards_common_sense/example99,C1_qwen_guided_condition_failure,R2,True,,False,step0:unmapped_component:7,pick>place,completed,2026-05-31 17:21:04
16,CommenSence/select_chemistry_tube_common_sense/example82,C1_qwen_guided_condition_failure,R2,True,,True,,pick>place,completed,2026-05-31 17:21:05
17,CommenSence/select_drink_common_sense/example1,C1_qwen_guided_condition_failure,R2,True,,False,step0:unmapped_component:orange_juice_box,pick>place,completed,2026-05-31 17:21:07
18,CommenSence/select_drink_common_sense/example11,C1_qwen_guided_condition_failure,R2,True,,True,,pick>place,completed,2026-05-31 17:21:08
